Questionnaire	ID	Details	Months	Years
KJ	kj605	CH is Affectionate to Family Members	42	3.5
KJ	kj606	CH Fights With Other Children	42	3.5
KJ	kj607	Other Children Dislike Child	42	3.5
KJ	kj612	CH wil Help Someone who is Hurt	42	3.5
KJ	kj617	CH is Kind to Young Children	42	3.5
KJ	kj620	CH Helps Children Feeling Ill	42	3.5
KJ	kj624	CH Comforts Child who is Upset	42	3.5
KJ	kj628	CH Bullies Other Children	42	3.5
KJ	kj630	CH gets on With Other Children	42	3.5
KJ	kj635	CH Shares Treats With Friends	42	3.5
KJ	kj637	CH is Inconsiderate of Others	42	3.5
KJ	kj639	CH Bites or Kicks Other Children	42	3.5
KJ	kj640	CH is Kind to Animals	42	3.5
KJ	kj642	CH Tries to Stop Quarrels	42	3.5
KL	kl700	F1: Child tends to be shy	57	4.8
KL	kl702	F3: Child likes to be with people	57	4.8
KL	kl704	F5: Child prefers playing with others rather than alone	57	4.8
KL	kl707	F8: Child makes friends easily	57	4.8
KL	kl709	F10: Child finds people more stimulating than anything else	57	4.8
KL	kl711	F12: Child is very sociable	57	4.8
KL	kl713	F14: Child takes a long time to warm to strangers	57	4.8
KL	kl715	F16: Child is something of a loner	57	4.8
KL	kl717	F18: When alone child feels isolated	57	4.8
KL	kl719	F20: Child is very friendly with strangers	57	4.8
KL	kl730	F21: Child bullies other children	57	4.8
KL	kl734	F25: Child fights with other children	57	4.8
KL	kl735	F26: Child is not much liked by other children	57	4.8
KL	kl749	F40: Child smiles when child sees their parent(s)	57	4.8
KL	kl760	F43: Frequency child joins in with others	57	4.8
KL	kl762	F45: Number of children who choose to play with child	57	4.8
KL	kl765	F48: Frequency child will comfort another child who is upset	57	4.8
KL	kl766	F49: Frequency child tells parent untrue things about others to get them in trouble	57	4.8
KL	kl770	F53: Frequency child is too demanding of parent	57	4.8
KL	kl775	F58: Child some times interrupts/butts in when others are talking	57	4.8
KL	kl791	F62b: Child is teased by brothers and sisters	57	4.8
KL	kl792	F62c: Child teases brothers and sisters	57	4.8
KL	kl793	F62d: Child is deliberately provoked by brothers and sisters	57	4.8
KL	kl794	F62e: Child deliberately provokes brothers and sisters	57	4.8
KL	kl795	F62f: Child is willing to share with brothers and sisters	57	4.8
KL	kl801	F63b: Child is teased by other children	57	4.8
KL	kl802	F63c: Child teases other children	57	4.8
KL	kl803	F63d: Child is deliberately provoked by other children	57	4.8
KL	kl804	F63e: Child deliberately provokes other children	57	4.8
KL	kl805	F63f: Child is willing to share with other children	57	4.8
KL	kl873	F70d1: Frequency child swears at adults who are family members	57	4.8
KL	kl874	F70e1: Frequency child uses angry words to adults who are family members	57	4.8
KL	kl883	F70d2: Frequency child swears at children who are family members	57	4.8
KL	kl884	F70e2: Frequency child uses angry words to children who are family members	57	4.8
KL	kl893	F71d1: Frequency child swears at adults who are not family members	57	4.8
KL	kl894	F71e1: Frequency child uses angry words to adults who are not family members	57	4.8
KL	kl903	F71d2: Frequency child swears at children who are not family members	57	4.8
KL	kl904	F71e2: Frequency child uses angry words to children who are not family members	57	4.8
KN	kn6000	F1: Frequency child tends to be shy	69	5.8
KN	kn6002	F3: Frequency child likes to be with people	69	5.8
KN	kn6004	F5: Frequency child prefers playing with others rather than alone	69	5.8
KN	kn6007	F8: Frequency child makes friends easily	69	5.8
KN	kn6009	F10: Frequency child finds people more stimulating than anything else	69	5.8
KN	kn6011	F12: Frequency child is very sociable	69	5.8
KN	kn6013	F14: Frequency child takes a long time to warm to strangers	69	5.8
KN	kn6015	F16: Frequency child is something of a loner	69	5.8
KN	kn6017	F18: Frequency child feels isolated when alone	69	5.8
KN	kn6019	F20: Frequency child is very friendly with strangers	69	5.8
KN	kn6020	F21: Frequency child bullies other children	69	5.8
KN	kn6024	F25: Frequency child fights with other children	69	5.8
KN	kn6025	F26: Frequency child is not much liked by other children	69	5.8
KN	kn6039	F40: Frequency child smiles when sees parents	69	5.8
KQ	kq320	C1: CH Considerate Others Feelings Past 6 Mths	81	6.8
KQ	kq323	C4: CH Shared With Other Kids Past 6 Mths	81	6.8
KQ	kq325	C6: CH Solitary & Played Alone Past 6 Mths	81	6.8
KQ	kq328	C9: CH Helpful If Someone Hurt Past 6 Mths	81	6.8
KQ	kq330	C11: CH Had At Least One Good Friend Past 6 Mths	81	6.8
KQ	kq331	C12: CH Fights With/Bullies Other Kids Past 6 Mths	81	6.8
KQ	kq333	C14: CH Generally Liked By Other Kids Past 6 Mths	81	6.8
KQ	kq336	C17: CH Kind To Younger Children Past 6 Mths	81	6.8
KQ	kq338	C19: CH Been Bullied In Past 6 Mths	81	6.8
KQ	kq339	C20: CH Often Vol To Help Others Past 6 Mths	81	6.8
KQ	kq342	C23: CH Got On Better With Adults Past 6 Mths	81	6.8
KQ	kq465	E4a: Does CH Share Toys With Others	81	6.8
KQ	kq466	E4b: CH Shares Others Toys Knowing Not Own	81	6.8
KQ	kq467	E4c: CH Feels Sympathy For Others If Hurt	81	6.8
KR	kr250	E1: Child fears situations involving lots of people	91	7.6
KR	kr251	E2a: Degree to which child was afraid of meeting new people in past month	91	7.6
KR	kr251a	DV: Child was afraid of meeting new people in past month	91	7.6
KR	kr252	E2b: Degree to which child was afraid of meeting lots of people in past month	91	7.6
KR	kr252a	DV: Child was afraid of meeting lots of people in past month	91	7.6
KR	kr253	E2c: Degree to which child was afraid of speaking in class in past month	91	7.6
KR	kr253a	DV: Child was afraid of speaking in class in past month	91	7.6
KR	kr254	E2d: Degree to which child was afraid of reading out loud before others in past month	91	7.6
KR	kr254a	DV: Child was afraid of reading out loud before others in past month	91	7.6
KR	kr255	E2e: Degree to which child was afraid of writing in front of others in past month	91	7.6
KR	kr255a	DV: Child was afraid of writing in front of others in past month	91	7.6
KR	kr256	E2f: Degree to which child was afraid of eating in front of others in past month	91	7.6
KR	kr256a	DV: Child was afraid of eating in front of others in past month	91	7.6
KR	kr257a	DV: Number of social fears	91	7.6
KR	kr257b	DV: Any social fears	91	7.6
KR	kr257c	DV: Number of missing social fears components	91	7.6
KR	kr258a	DV: Number of severe social fears	91	7.6
KR	kr258b	DV: Any severe social fears	91	7.6
KR	kr258c	DV: Number of missing social fears components	91	7.6
KR	kr259c	DV: Number of missing social fears components	91	7.6
KR	kr261	E4: Relationship of child's social fears to adults/children	91	7.6
KR	kr262	E5: Child gets on with known people outside of feared situations	91	7.6
KR	kr263	E6a: Child's social fear due to embarrassment	91	7.6
KR	kr264	E6b: Child's social fear related to speech, reading or writing problems	91	7.6
KR	kr267	E7b: Age social fears began	91	7.6
KR	kr268	E8: Degree to which child is upset by confrontation with social fears	91	7.6
KR	kr269	E9: Frequency child is upset by social fears	91	7.6
KR	kr270	E10a: Degree to which child avoids feared situations due to social fears	91	7.6
KR	kr271	E10b: Degree to which avoidance interferes with daily life	91	7.6
KR	kr272	E10c: Child recognises social fears are excessive	91	7.6
KR	kr273	E10d: Child is upset about having social fears	91	7.6
KR	kr274	E11: Degree to which child's social fears have burdened the family	91	7.6
KR	kr275b	DV: Any burden of social fears	91	7.6
KR	kr275c	DV: Number of missing burden of social fears components	91	7.6
KR	kr507	L9c: Frequency child has bullied/threatened people in past 12 months	91	7.6
KR	kr507a	DV: Child has bullied/threatened people in past 12 months	91	7.6
KR	kr508	L9c1: Child has been often bullying/threatening people for past 6 months	91	7.6
KR	kr539	M3a: Child was unaware of other people's feelings over past 6 months	91	7.6
KR	kr539a	DV: Child was unaware of other people's feelings over past 6 months (Y/N)	91	7.6
KR	kr540	M3b: Child did not realise when others were upset/angry over past 6 months	91	7.6
KR	kr540a	DV: Child did not realise when others were upset/angry over past 6 months (Y/N)	91	7.6
KR	kr541	M3c: Child did not notice the effect of own behaviour on other family members over past 6 months	91	7.6
KR	kr541a	DV: Child did not notice the effect of own behaviour on other family members over past 6 months (Y/N)	91	7.6
KR	kr543	M3e: Child was very demanding of other people's time over past 6 months	91	7.6
KR	kr543a	DV: Child was very demanding of other people's time over past 6 months (Y/N)	91	7.6
KR	kr545	M3g: Child did not seem to understand social skills over past 6 months	91	7.6
KR	kr545a	DV: Child did not seem to understand social skills over past 6 months (Y/N)	91	7.6
KR	kr546	M3h: Child did not pick up on body language over past 6 months	91	7.6
KR	kr546a	DV: Child did not pick up on body language over past 6 months (Y/N)	91	7.6
KR	kr548	M3j: Child did not realise people were offended by own behaviour over past 6 months	91	7.6
KR	kr548a	DV: Child did not realise people were offended by own behaviour over past 6 months (Y/N)	91	7.6
KU	ku680	F1: Child has been considerate of other people's feelings in past 6 months	108	9.0
KU	ku683	F4: Child has shared readily with other children in past 6 months	108	9.0
KU	ku685	F6: Child is rather solitary, tends to play alone in past 6 months	108	9.0
KU	ku688	F9: Child is helpful if someone hurt, upset or feeling ill in past 6 months	108	9.0
KU	ku691	F12: Child often fights with other children or bullies them in past 6 months	108	9.0
KU	ku693	F14: Child is generally liked by other children in past 6 months	108	9.0
KU	ku696	F17: Child is kinder to younger children in past 6 months	108	9.0
KU	ku698	F19: Child is picked on or bullied by other children in past 6 months	108	9.0
KU	ku699	F20: Child often volunteers to help others in past 6 months	108	9.0
KU	ku702	F23: Child gets on better with adults than with other children in past 6 months	108	9.0
KV	kv7522	L3c: In last 6 months child often butted in on others conversations or games	120	10.0
