"Dataset","Variable","Details","Counts","Type","Release","Label 1","Label 2","Label 3"
"kd_4b","kd142","CH Holds Breath While Asleep",11120,"numeric","Current","Quest","Child Based",NA
"tf2_3a","fg4127","F6: Frequency teenager has sleepovers with friends: TF2",6141,"numeric","Current","Clinic","Child",NA
"tf2_3a","fg4957","SR6a: SRE Teenager has passed out/fell asleep after drinking, first 5 times dran",6141,"numeric","Current","Clinic","Child",NA
"tf2_3a","fg4958","SR6b: SRE Number of drinks it took before passed out/fell asleep after drinking,",6141,"numeric","Current","Clinic","Child",NA
"tf2_3a","fg4967","SR6c: SRE Teenager has passed out/fell asleep after drinking, last 3 months drin",6141,"numeric","Current","Clinic","Child",NA
"tf2_3a","fg4968","SR6d: SRE Number of drinks it took before passed out/fell asleep after drinking,",6141,"numeric","Current","Clinic","Child",NA
"tf1_3a","ff5020","S15: Since 12th birthday teenager walked in sleep: psychosis interview: TF1",6832,"numeric","Current","Clinic","Child",NA
"tf1_3a","ff5021","S16: Since 12th birthday teenager walked in sleep- frequency: psychosis intervie",6832,"numeric","Current","Clinic","Child",NA
"tf1_3a","ff5022","S17: Rater scale - Sleep walking: psychosis interview: TF1",6832,"numeric","Current","Clinic","Child",NA
"tf1_3a","ff5050","H12: Since 12th birthday teenager heard voices- only happen when falling asleep/",6832,"numeric","Current","Clinic","Child",NA
"tf1_3a","ff5090","U8: Teenager has had odd sensations - only happen when falling asleep/waking up:",6832,"numeric","Current","Clinic","Child",NA
"tf1_3a","ff5264","DV: Interviewer rating of >=1 psychotic experience attributable to sleep, fever,",6832,"numeric","Current","Clinic","Child",NA
"tf1_3a","ff5265","DV: Interviewer rating of >=1 psychotic experience attributable to sleep, fever,",6832,"numeric","Current","Clinic","Child",NA
"tf1_3a","ff5266","DV: Interviewer rating of >=1 psychotic experience attributable to sleep, fever,",6832,"numeric","Current","Clinic","Child",NA
"tf1_3a","ff5408","F6: Frequency teenager has sleepovers with friends: friends: TF1",6832,"numeric","Current","Clinic","Child",NA
"tf1_3a","ff7417","SR6a: SRE Teenager has passed out/fell asleep after drinking, first 5 times dran",6832,"numeric","Current","Clinic","Child",NA
"tf1_3a","ff7418","SR6b: SRE Number of drinks it took before passed out/fell asleep after drinking,",6832,"numeric","Current","Clinic","Child",NA
"tf1_3a","ff7427","SR6c: SRE Teenager has passed out/fell asleep after drinking, last 3 months drin",6832,"numeric","Current","Clinic","Child",NA
"tf1_3a","ff7428","SR6d: SRE Number of drinks it took before passed out/fell asleep after drinking,",6832,"numeric","Current","Clinic","Child",NA
"tf3_4a","fh5300","Teenager started the Sleep session: TF3",5509,"numeric","Current","Clinic","Child",NA
"tf3_4a","fh5304","VR7a: Number of sleep questionaires received :TF3",5509,"numeric","Current","Clinic","Child",NA
"tf3_4a","fh5305","VR7b: Sleep qes taken home :TF3",5509,"numeric","Current","Clinic","Child",NA
"tf3_4a","fh5308","VR7: Tester for Sleep Session - TF3",5509,"numeric","Current","Clinic","Child",NA
"tf3_4a","fh5309","Version number sleep data sheet: TF3",5509,"numeric","Current","Clinic","Child",NA
"tf3_4a","fh5311","A1: Day of the week sleep questionnaire completed: TF3",5509,"numeric","Current","Clinic","Child",NA
"tf3_4a","fh5400","A2: Time of day sleep questionnaire completed: Hour: TF3",5509,"numeric","Current","Clinic","Child",NA
"tf3_4a","fh5401","A2: Time of day sleep questionnaire completed: Minutes: TF3",5509,"numeric","Current","Clinic","Child",NA
