file_name,name,details,type,file_descriptor,context,missing,total,proportion
KB,kb001,Form date,Child Based Q variable names,KB Files,KB Files. Questionnaire: My Daughter/Son. Completed by: Mother. At: 6 months,3973.0,15445.0,0.25723535124635805
KB,kb010,Health of child in 1st months,Child Based Q variable names,KB Files,KB Files. Questionnaire: My Daughter/Son. Completed by: Mother. At: 6 months,4036.0,15445.0,0.2613143412107478
KB,kb011,Health of child in past month,Child Based Q variable names,KB Files,KB Files. Questionnaire: My Daughter/Son. Completed by: Mother. At: 6 months,4036.0,15445.0,0.2613143412107478
KB,kb066,CH admitted to HOSP,Child Based Q variable names,KB Files,KB Files. Questionnaire: My Daughter/Son. Completed by: Mother. At: 6 months,4002.0,15445.0,0.25911298154742635
KB,kb067,NO of HOSP admissons,Child Based Q variable names,KB Files,KB Files. Questionnaire: My Daughter/Son. Completed by: Mother. At: 6 months,4107.0,15445.0,0.2659112981547426
KB,kb372,No times per week child has alcohol,Child Based Q variable names,KB Files,KB Files. Questionnaire: My Daughter/Son. Completed by: Mother. At: 6 months,4058.0,15445.0,0.2627387504046617
KB,kb589,Other CHDR in HHOLD,Child Based Q variable names,KB Files,KB Files. Questionnaire: My Daughter/Son. Completed by: Mother. At: 6 months,4054.0,15445.0,0.2624797669148592
KB,kb590,NO of other boys,Child Based Q variable names,KB Files,KB Files. Questionnaire: My Daughter/Son. Completed by: Mother. At: 6 months,4060.0,15445.0,0.26286824214956295
KB,kb591,NO of other girls,Child Based Q variable names,KB Files,KB Files. Questionnaire: My Daughter/Son. Completed by: Mother. At: 6 months,4060.0,15445.0,0.26286824214956295
KB,kb592,No. of other children,Child Based Q variable names,KB Files,KB Files. Questionnaire: My Daughter/Son. Completed by: Mother. At: 6 months,4060.0,15445.0,0.26286824214956295
KB,kb610,CH has twin,Child Based Q variable names,KB Files,KB Files. Questionnaire: My Daughter/Son. Completed by: Mother. At: 6 months,3978.0,15445.0,0.2575590806086112
KB,kb871,Questionnaire completed by MUM,Child Based Q variable names,KB Files,KB Files. Questionnaire: My Daughter/Son. Completed by: Mother. At: 6 months,3973.0,15445.0,0.25723535124635805
KB,kb872,Questionnaire completed by PTNR,Child Based Q variable names,KB Files,KB Files. Questionnaire: My Daughter/Son. Completed by: Mother. At: 6 months,3973.0,15445.0,0.25723535124635805
KB,kb873,Questionnaire completed by other person,Child Based Q variable names,KB Files,KB Files. Questionnaire: My Daughter/Son. Completed by: Mother. At: 6 months,3973.0,15445.0,0.25723535124635805
KB,kb874,DD of completing questionnaire,Child Based Q variable names,KB Files,KB Files. Questionnaire: My Daughter/Son. Completed by: Mother. At: 6 months,3973.0,15445.0,0.25723535124635805
KB,kb875,Date questionnaire completed - month,Child Based Q variable names,KB Files,KB Files. Questionnaire: My Daughter/Son. Completed by: Mother. At: 6 months,3973.0,15445.0,0.25723535124635805
KB,kb876,Date questionnaire completed - year,Child Based Q variable names,KB Files,KB Files. Questionnaire: My Daughter/Son. Completed by: Mother. At: 6 months,3973.0,15445.0,0.25723535124635805
KB,kb879a,Age of child at completion (months),Child Based Q variable names,KB Files,KB Files. Questionnaire: My Daughter/Son. Completed by: Mother. At: 6 months,3973.0,15445.0,0.25723535124635805
KB,kb879b,Age of child at completion (weeks),Child Based Q variable names,KB Files,KB Files. Questionnaire: My Daughter/Son. Completed by: Mother. At: 6 months,3973.0,15445.0,0.25723535124635805
KB,kb899,Completed with aid of interviewer,Child Based Q variable names,KB Files,KB Files. Questionnaire: My Daughter/Son. Completed by: Mother. At: 6 months,3973.0,15445.0,0.25723535124635805
KC,kc001,Form date,Child Based Q variable names,KC Files,KC Files. Questionnaire: My Infant Daughter/Son. Completed by: Mother. At:  15 months,4386.0,15445.0,0.28397539656846876
KC,kc360,Passive smoke exposure - weekday,Child Based Q variable names,KC Files,KC Files. Questionnaire: My Infant Daughter/Son. Completed by: Mother. At:  15 months,4537.0,15445.0,0.2937520233085141
KC,kc361,Passive smoke exposure - weekend,Child Based Q variable names,KC Files,KC Files. Questionnaire: My Infant Daughter/Son. Completed by: Mother. At:  15 months,4549.0,15445.0,0.29452897377792164
KC,kc362,Never exposed to passive smoke,Child Based Q variable names,KC Files,KC Files. Questionnaire: My Infant Daughter/Son. Completed by: Mother. At:  15 months,4384.0,15445.0,0.2838459048235675
KC,kc363,Degree of weekly exposure to smoke,Child Based Q variable names,KC Files,KC Files. Questionnaire: My Infant Daughter/Son. Completed by: Mother. At:  15 months,4446.0,15445.0,0.28786014891550665
KC,kc527,CH had alcohol since 6MTHS old,Child Based Q variable names,KC Files,KC Files. Questionnaire: My Infant Daughter/Son. Completed by: Mother. At:  15 months,4579.0,15445.0,0.2964713499514406
KC,kc815,FREQ CH imitates words,Child Based Q variable names,KC Files,KC Files. Questionnaire: My Infant Daughter/Son. Completed by: Mother. At:  15 months,4447.0,15445.0,0.28792489478795724
KC,kc816,FREQ CH names things,Child Based Q variable names,KC Files,KC Files. Questionnaire: My Infant Daughter/Son. Completed by: Mother. At:  15 months,4591.0,15445.0,0.29724830042084815
KC,kc995a,Questionnaire by MUM,Child Based Q variable names,KC Files,KC Files. Questionnaire: My Infant Daughter/Son. Completed by: Mother. At:  15 months,4777.0,15445.0,0.3092910326966656
KC,kc995b,Questionnaire by DAD,Child Based Q variable names,KC Files,KC Files. Questionnaire: My Infant Daughter/Son. Completed by: Mother. At:  15 months,4777.0,15445.0,0.3092910326966656
