file_name,type,file_descriptor,context
Ch_Metab,Biological samples variable names,Child Metabolomics File,Child Metabolomics File
CHILD_METABOLOMICS,Biological samples variable names,Child Metabolomics File,Child Metabolomics File
Child_bloods,Biological samples variable names,Child biological samples File,Child biological samples File
Father_samples,Biological samples variable names,Father biological samples File,Father biological samples File
M_Sam,Biological samples variable names,Mother biological samples File,Mother biological samples File
father_metabolomics,Biological samples variable names,Mother metabolomics File,Mother metabolomics File
mum_metabolomics,Biological samples variable names,Mother metabolomics File,Mother metabolomics File
KA,Child Based Q variable names,KA Files,KA Files. Questionnaire: My Young Baby Boy/Girl. Completed by: Mother. At: 4 weeks
KB,Child Based Q variable names,KB Files,KB Files. Questionnaire: My Daughter/Son. Completed by: Mother. At: 6 months
KC,Child Based Q variable names,KC Files,KC Files. Questionnaire: My Infant Daughter/Son. Completed by: Mother. At:  15 months
KD,Child Based Q variable names,KD Files,KD Files. Questionnaire: Girl/Boy toddler. Completed by: Mother. At: 18 months
KE,Child Based Q variable names,KE Files,KE Files. Questionnaire: My Little Boy/Girl. Completed by: Mother. At: 24 months
KF,Child Based Q variable names,KF Files,KF Files. Questionnaire: My Little Study Daughter/Son. Completed by: Mother. At: 30 months
,Child Based Q variable names,KF Files,KF Files. Questionnaire: My Little Study Daughter/Son. Completed by: Mother. At: 30 months
KG,Child Based Q variable names,KG Files,KG Files. Questionnaire: My 3 year old Boy/Girl. Completed by: Mother. At: 38 months
KGnut,Child Based Q variable names,KG Files,KG Files. Questionnaire: My 3 year old Boy/Girl. Completed by: Mother. At: 38 months
KJ,Child Based Q variable names,KJ Files,KJ Files. Questionnaire: My Son's/Daughter's Health & Behaviour. Completed by: Mother. At: 42 months
KK,Child Based Q variable names,KK Files,KK Files. Questionnaire: My Young 4 Year Old Boy/Girl. Completed by: Mother. At: 54 months
KKnut,Child Based Q variable names,KK Files,KK Files. Questionnaire: My Young 4 Year Old Boy/Girl. Completed by: Mother. At: 54 months
KL,Child Based Q variable names,KL Files,KL Files. Questionnaire: Development & health of my Son/Daughter. Completed by: Mother. At: 57 months
KM,Child Based Q variable names,KM Files,KM Files. Questionnaire: My 5 year old Son/Daughter. Completed by: Mother. At: 65 months
KN,Child Based Q variable names,KN Files,KN Files. Questionnaire: My School Boy/Girl. Completed by: Mother. At: 69 months
KP,Child Based Q variable names,KP Files,KP Files. Questionnaire: My Daughter/Son Growing Up. Completed by: Mother. At: 78 months
KQ,Child Based Q variable names,KQ Files,KQ Files. Questionnaire: My Son/Daughter at School. Completed by: Mother. At: 81 months
KR,Child Based Q variable names,KR Files,KR Files. Questionnaire: My Son/Daughter's Well-Being. Completed by: Mother. At: 91 months
,Child Based Q variable names,KR Files,KR Files. Questionnaire: My Son/Daughter's Well-Being. Completed by: Mother. At: 91 months
KS,Child Based Q variable names,KS Files,KS Files. Questionnaire: My Son/Daughter's Health. Completed by: Mother. At: 103 months
KT,Child Based Q variable names,KT Files,KT Files. Questionnaire: My Son/Daughter at Home & at School. Completed by: Mother. At: 103 months
KTnut,Child Based Q variable names,KT Files,KT Files. Questionnaire: My Son/Daughter at Home & at School. Completed by: Mother. At: 103 months
KU,Child Based Q variable names,KU Files,KU Files. Questionnaire: Your Son/Daughter at 9. Completed by: Mother. At: 9 years
KV,Child Based Q variable names,KV Files,KV Files. Questionnaire: Girl/Boy Health and Happiness. Completed by: Mother. At: 10 years
KW,Child Based Q variable names,KW Files,KW Files. Questionnaire: Being a Girl/Boy. Completed by: Mother. At: 11 years
PUB1,Child Based Q variable names,Puberty1 Files,Puberty1 Files. Questionnaire: Growing and Changing. Completed by: Mother/child. At: 8 years 1 month
PUB2,Child Based Q variable names,Puberty2 Files,Puberty2 Files. Questionnaire: Growing and Changing 2. Completed by: Mother/child. At: 9 years 7 months
PUB3,Child Based Q variable names,Puberty3 Files,Puberty3 Files. Questionnaire: Growing and Changing 3. Completed by: Mother/child. At: 10 years 8 months
PUB4,Child Based Q variable names,Puberty4 Files,Puberty4 Files. Questionnaire: Growing and Changing 4. Completed by: Mother/child. At: 11 years 8 months
PUB5,Child Based Q variable names,Puberty5 Files,Puberty5 Files. Questionnaire: Growing and Changing 5. Completed by: Mother/child. At: 13 years 1 month
PUB6,Child Based Q variable names,Puberty6 Files,Puberty6 Files. Questionnaire: Growing and Changing 6. Completed by: Mother/child. At: 14 years 7 months
PUB7,Child Based Q variable names,Puberty7 Files,Puberty7 Files. Questionnaire: Growing and Changing 7. Completed by: Mother/child. At: 15.5 years
PUB8,Child Based Q variable names,Puberty8 Files,Puberty8 Files. Questionnaire: Growing and Changing 8. Completed by: Mother/child. At: 16 years 
PUB9,Child Based Q variable names,Puberty9 Files,Puberty9 Files. Questionnaire: Growing and Changing 9. Completed by: Mother/child. At: 17 years
TA,Child Based Q variable names,TA Files,TA Files. Questionnaire: My Teenage Son/Daughter . Completed by: Mother. At: 13 years
TB,Child Based Q variable names,TB Files,TB Files. Questionnaire: Wellbeing of my Teenage Son/Daughter . Completed by: Mother. At: 13 years
TC,Child Based Q variable names,TC Files,TC Files. Questionnaire: Your Daughter/Son 16+ Years On. Completed by: Mother. At: 61 years
TXA,Child Based Q variable names,TXA Files,TXA Files. Questionnaire: Year 11 Q for Parents and Carers. Completed by: Mother. At: Year 11
CCA,Child Completed Q variable names,CCA Files,CCA Files. Questionnaires:  My Teeth. Your own Questionnaire At:  65 months. My second Questionnaire	At:  69 months. Your next Questionnaire At:  73 months. Growing Up At:  77 months. My Questionniare At:  81 months. Things for you to do At:  85 months.
CCB,Child Completed Q variable names,CCB Files,CCB Files. Questionnaire:  My Teeth. Completed by: Child. At:  91 months
CCC,Child Completed Q variable names,CCC Files,CCC Files. Questionnaire:  Me and My School. Completed by: Child. At:  97 months
CCD,Child Completed Q variable names,CCD Files,CCD Files. Questionnaire:  Some More About Me. Completed by: Child. At:  103 months
CCE,Child Completed Q variable names,CCE Files,CCE Files. Questionnaire:  My World. Completed by: Child. At:  110 months
