"file_name","name","details","type","file_descriptor","context","missing","total","proportion"
"KB","kb001","Form date","Child Based Q variable names","KB Files","KB Files. Questionnaire: My Daughter/Son. Completed by: Mother. At: 6 months",3973,15445,0.257235351246358
"KB","kb874","DD of completing questionnaire","Child Based Q variable names","KB Files","KB Files. Questionnaire: My Daughter/Son. Completed by: Mother. At: 6 months",3973,15445,0.257235351246358
"KB","kb875","Date questionnaire completed - month","Child Based Q variable names","KB Files","KB Files. Questionnaire: My Daughter/Son. Completed by: Mother. At: 6 months",3973,15445,0.257235351246358
"KB","kb876","Date questionnaire completed - year","Child Based Q variable names","KB Files","KB Files. Questionnaire: My Daughter/Son. Completed by: Mother. At: 6 months",3973,15445,0.257235351246358
"KB","kb879a","Age of child at completion (months)","Child Based Q variable names","KB Files","KB Files. Questionnaire: My Daughter/Son. Completed by: Mother. At: 6 months",3973,15445,0.257235351246358
"KB","kb879b","Age of child at completion (weeks)","Child Based Q variable names","KB Files","KB Files. Questionnaire: My Daughter/Son. Completed by: Mother. At: 6 months",3973,15445,0.257235351246358
"KC","kc001","Form date","Child Based Q variable names","KC Files","KC Files. Questionnaire: My Infant Daughter/Son. Completed by: Mother. At:  15 months",4386,15445,0.283975396568469
"KC","kc996","Date of completing questionnaire-MTH","Child Based Q variable names","KC Files","KC Files. Questionnaire: My Infant Daughter/Son. Completed by: Mother. At:  15 months",4419,15445,0.28611201035934
"KC","kc996a","Date of completing questionnaire-YRS","Child Based Q variable names","KC Files","KC Files. Questionnaire: My Infant Daughter/Son. Completed by: Mother. At:  15 months",4447,15445,0.287924894787957
"KC","kc997","Age in months at completion","Child Based Q variable names","KC Files","KC Files. Questionnaire: My Infant Daughter/Son. Completed by: Mother. At:  15 months",4394,15445,0.284493363548074
"KD","kd001","Form date","Child Based Q variable names","KD Files","KD Files. Questionnaire: Girl/Boy toddler. Completed by: Mother. At: 18 months",4331,15445,0.280414373583684
"KD","kd990","Age at completion (months)","Child Based Q variable names","KD Files","KD Files. Questionnaire: Girl/Boy toddler. Completed by: Mother. At: 18 months",4340,15445,0.28099708643574
"KD","kd991","Date Questionnaire Completed - Month","Child Based Q variable names","KD Files","KD Files. Questionnaire: Girl/Boy toddler. Completed by: Mother. At: 18 months",4342,15445,0.281126578180641
"KD","kd992","Date Questionnaire Completed - Year","Child Based Q variable names","KD Files","KD Files. Questionnaire: Girl/Boy toddler. Completed by: Mother. At: 18 months",4414,15445,0.285788280997086
"KD","kd995","Month of birth","Child Based Q variable names","KD Files","KD Files. Questionnaire: Girl/Boy toddler. Completed by: Mother. At: 18 months",4378,15445,0.283457429588864
"KE","ke001","Form date","Child Based Q variable names","KE Files","KE Files. Questionnaire: My Little Boy/Girl. Completed by: Mother. At: 24 months",5029,15445,0.325606992554225
"KE","ke995","Age in months at completion","Child Based Q variable names","KE Files","KE Files. Questionnaire: My Little Boy/Girl. Completed by: Mother. At: 24 months",5029,15445,0.325606992554225
"KE","ke996","Date of completion of questionnaire-MTH","Child Based Q variable names","KE Files","KE Files. Questionnaire: My Little Boy/Girl. Completed by: Mother. At: 24 months",5029,15445,0.325606992554225
"KF","kf001","Form date","Child Based Q variable names","KF Files","KF Files. Questionnaire: My Little Study Daughter/Son. Completed by: Mother. At: 30 months",5111,15445,0.330916154095176
"KF","kf023","Child's age - months","Child Based Q variable names","KF Files","KF Files. Questionnaire: My Little Study Daughter/Son. Completed by: Mother. At: 30 months",5135,15445,0.332470055033992
"","kf996","Date Qnaire Completed - Day","Child Based Q variable names","KF Files","KF Files. Questionnaire: My Little Study Daughter/Son. Completed by: Mother. At: 30 months",5111,15445,0.330916154095176
"","kf997","Questionnaire Completion Date - Mth","Child Based Q variable names","KF Files","KF Files. Questionnaire: My Little Study Daughter/Son. Completed by: Mother. At: 30 months",5111,15445,0.330916154095176
"","kf998","Date Qnaire Completed - Year","Child Based Q variable names","KF Files","KF Files. Questionnaire: My Little Study Daughter/Son. Completed by: Mother. At: 30 months",5111,15445,0.330916154095176
