qlet	Birt`h order (within pregnancy)
kz011b	Alive at 1 year
kz021	Sex
kz030	Preferred birthweight
kb001	Form date
kb010	Health of child in 1st months
kb011	Health of child in past month
kb066	CH admitted to HOSP
kb067	NO of HOSP admissons
kb372	No times per week child has alcohol
kb589	Other CHDR in HHOLD
kb590	NO of other boys
kb591	NO of other girls
kb592	No. of other children
kb610	CH has twin
kb871	Questionnaire completed by MUM
kb872	Questionnaire completed by PTNR
kb873	Questionnaire completed by other person
kb874	DD of completing questionnaire
kb875	Date questionnaire completed - month
kb876	Date questionnaire completed - year
kb879a	Age of child at completion (months)
kb879b	Age of child at completion (weeks)
kb899	Completed with aid of interviewer
kc001	Form date
kc360	Passive smoke exposure - weekday
kc361	Passive smoke exposure - weekend
kc362	Never exposed to passive smoke
kc363	Degree of weekly exposure to smoke
kc527	CH had alcohol since 6MTHS old
kc528	Age CH started alcohol
kc529	No of times CH has alcohol
kc815	FREQ CH imitates words
kc816	FREQ CH names things
kc995a	Questionnaire by MUM
kc995b	Questionnaire by DAD
kc995c	Questionnaire by other
kc996	Date of completing questionnaire-MTH
kc996a	Date of completing questionnaire-YRS
kc997	Age in months at completion
kc999	Q'aire completed with aid of interviewer
kd001	Form date
kd010	Childs Health in Past Month
kd011	Childs Health in Past Year
kd057	Child hospitalized since 6 Months Old
kd058	NO of Times Child Hospitalized
kd307	CH Repeatedly Rocks Head or Body
kd307a	Ch repeatedly rocks head or body (adj)
kd308	CH Has Tick or Twitch
kd308a	Ch has tick or twitch (adj)
kd309	CH Has Other Unusual Behaviour
kd309a	Ch has other unusual behaviour (adj)
kd430	Other Kids in House
kd431	Older Children Living With CH
kd432	NO of Older Brothers
kd433	NO of Older Sisters
kd434	No. of older siblings
kd440	CH Has Twin or Triplet
kd451	NO of Younger Brothers
kd452	NO of Younger Sisters
kd453	No. of younger siblings
kd454a	Age of Younger SIBS - Child 1
kd454b	Age of Younger SIBS - Child 2
kd454c	Age of Younger SIBS - Child 3
kd504a	CH Physically Hurt by Person > 6 MTHS
kd504b	Ch physically hurt by someone (adj)
kd505a	CH Sexually Abused > 6 MTHS
kd505b	Ch sexually abused (adj)
kd506a	CH Separated 1+ WK From MUM > 6 MTHS
kd506b	Ch separated from mum for > a wk (adj)
kd507a	CH Separated 1+ WK From DAD > 6 MTHS
kd507b	Ch separated from dad for > a wk (adj)
kd508a	CH Acquired New Parent > 6 MTHS
kd508b	Ch acquired a new parent (adj)
kd509a	CH Had New SIB > 6 MTHS
kd509b	Ch had a new sibling (adj)
kd510a	CH Admitted to HOSP > 6 MTHS
kd510b	Ch admitted to hospital (adj)
kd511a	Change of Care Giver > CH 6 MTHS
kd511b	Ch changed carer (adj)
kd512a	CH Separated From Someone Else > 6 MTHS
kd512b	Ch separated from someone else (adj)
kd513a	CH Started Creche > 6 MTHS
kd513b	Ch started nursery (adj)
kd514a	CH Had Other Upsetting Event > 6 MTHS
kd514b	Ch had other upsetting event (adj)
kd700	MUM Worried About CH Speech Development
kd701	MUM Worried About CH Weight Development
kd702	MUM Worried About CH Height Development
kd703	MUM Worried About CH Behavior Develpmnt
kd704	MUM Worried About CH General Development
kd705	Worries over development
kd980	Questionnaire Completed by MUM
kd981	Questionnaire Completed by DAD
kd982	Questionnaire Completed by other
kd990	Age at completion (months)
kd991	Date Questionnaire Completed - Month
kd992	Date Questionnaire Completed - Year
kd995	Month of birth
kd999	Questionnaire competed with aid of interviewer
ke001	Form date
ke990	Questionnaire filled by MUM
ke991	Questionnaire filled by DAD
ke992	Questionnaire filled by other
ke995	Age in months at completion
ke996	Date of completion of questionnaire-MTH
kf001	Form date
kf010	Childs health in past month
kf011	Childs health in past year
kf023	Childs age
kf454	Child physically hurt > 18 months
kf454a	Child physically hurt > 18 months, Y/N
kf455	Child sexually abused > 18 months
kf455a	Child sexually abused > 18 months, Y/N
kf456	CH separated from mother >1 wk >18 mths
kf456a	Child sep.from mother >1wk >18 mths, Y/N
kf457	CH separated from father >1 wk >18 mths
kf457a	Child sep.from father >1wk >18 mths, Y/N
kf458	Child got new parent > 18 months
kf458a	Child got new parent > 18 months, Y/N
kf459	Child got new sibling > 18 months
kf459a	Child got new sibling > 18 months, Y/N
kf460	Child admitted to hospital > 18 months
kf460a	Child admitted to hospital >18 mths, Y/N
kf461	Child changed carer > 18 months
kf461a	Child changed carer > 18 months, Y/N
kf550	Carer worried about childs speech
kf551	Carer worred about childs weight
kf552	Carer worried about childs height
kf553	Carer worried about childs behaviour
kf554	Carer worried about CH general developmnt
kf555	Worries over development
kf990	Questionnaire completed by mother
kf991	Questionnaire completed by father
kf992	Questionnaire completed by other
kf996	Date Qnaire Completed - Day
kf997	Questionnaire Completion Date - Mth
kf998	Date Qnaire Completed - Year
kf999	Age of CH (mths) at completion of ?aire
kg001	Questionnaire version
kg440	E22a: Description of childs alcohol drinking
kg440a	DV: Alcohol drinking
kg990	J1a: Mother completed questionnaire
kg991	J1b: Father/Partner completed questionnaire
kg992	J1c: Other person completed questionnaire
kg994	DV: Number of contributors to questionnaire
kg995	DV: Questionnaire completed by...
kg997	J2: Date questionnaire completed - month
kg998a	DV: Age of child at completion (months)
kg998b	DV: Age of child at completion (weeks)
kg998c	DV: Assumptions made in calculating child's age at completion
kj001	Form Date
kj060	CH Admitted to HOSP Past 12 Months
kj061	Times CH Admitted to HOSP Past 12 Months
kj275	CH Often Rocks Head or Body Repeatedly
kj275a	CH Often Rocks Head or Body Y/N
kj276	CH has Tic or Twitch
kj276a	Child Has Tic Or Twitch
kj277	CH has Other Unusual Behaviour
kj277a	Child Has Other Unusual Behaviour
kj330	FREQ CH Plays W Other Children
